,20150917,20060814,20141204,20101206,20130502,19850808,20150226,19840926,19890218,20060420
12875-80-3,"['19970917', 7815, 463565, 98.62, 46.126, 97.057]","['20010824', 7044, 403595, 98.839, 42.826, 97.55]","['20121204', 5786, 369165, 98.851, 40.965, 97.609]","['20111207', 8157, 503099, 98.553, 48.727, 96.994]","['19910501', 5692, 343162, 99.148, 38.795, 98.201]","['19860802', 4043, 240513, 98.624, 31.12, 97.127]","['19910210', 6166, 395780, 98.885, 41.593, 97.565]","['19811001', 4325, 258754, 98.645, 32.71, 97.171]","['19900210', 3854, 232273, 98.861, 29.484, 97.512]","['20010420', 5403, 368872, 98.998, 40.314, 97.854]"
12875-80-2,"['19970917', 30884, 463565, 98.62, 46.126, 97.057]","['20010824', 27290, 403595, 98.839, 42.826, 97.55]","['20121204', 23512, 369165, 98.851, 40.965, 97.609]","['20111207', 32643, 503099, 98.553, 48.727, 96.994]","['19910501', 22547, 343162, 99.148, 38.795, 98.201]","['19860802', 16011, 240513, 98.624, 31.12, 97.127]","['19910210', 25248, 395780, 98.885, 41.593, 97.565]","['19811001', 17296, 258754, 98.645, 32.71, 97.171]","['19900210', 15380, 232273, 98.861, 29.484, 97.512]","['20010420', 22993, 368872, 98.998, 40.314, 97.854]"
12875-95-4,"['19970917', 1977, 463565, 98.62, 46.126, 97.057]","['20010824', 1767, 403595, 98.839, 42.826, 97.55]","['20121204', 1426, 369165, 98.851, 40.965, 97.609]","['20111207', 2155, 503099, 98.553, 48.727, 96.994]","['19910501', 1524, 343162, 99.148, 38.795, 98.201]","['19860802', 973, 240513, 98.624, 31.12, 97.127]","['19910210', 1545, 395780, 98.885, 41.593, 97.565]","['19811001', 1134, 258754, 98.645, 32.71, 97.171]","['19900210', 951, 232273, 98.861, 29.484, 97.512]","['20010420', 1220, 368872, 98.998, 40.314, 97.854]"
12875-95-3,"['19970917', 7815, 463565, 98.62, 46.126, 97.057]","['20010824', 7044, 403595, 98.839, 42.826, 97.55]","['20121204', 5786, 369165, 98.851, 40.965, 97.609]","['20111207', 8157, 503099, 98.553, 48.727, 96.994]","['19910501', 5692, 343162, 99.148, 38.795, 98.201]","['19860802', 4043, 240513, 98.624, 31.12, 97.127]","['19910210', 6166, 395780, 98.885, 41.593, 97.565]","['19811001', 4325, 258754, 98.645, 32.71, 97.171]","['19900210', 3854, 232273, 98.861, 29.484, 97.512]","['20010420', 5403, 368872, 98.998, 40.314, 97.854]"
12875-95-2,"['19970917', 30884, 463565, 98.62, 46.126, 97.057]","['20010824', 27290, 403595, 98.839, 42.826, 97.55]","['20121204', 23512, 369165, 98.851, 40.965, 97.609]","['20111207', 32643, 503099, 98.553, 48.727, 96.994]","['19910501', 22547, 343162, 99.148, 38.795, 98.201]","['19860802', 16011, 240513, 98.624, 31.12, 97.127]","['19910210', 25248, 395780, 98.885, 41.593, 97.565]","['19811001', 17296, 258754, 98.645, 32.71, 97.171]","['19900210', 15380, 232273, 98.861, 29.484, 97.512]","['20010420', 22993, 368872, 98.998, 40.314, 97.854]"
12875-99-4,"['19970917', 1977, 463565, 98.62, 46.126, 97.057]","['20010824', 1767, 403595, 98.839, 42.826, 97.55]","['20121204', 1426, 369165, 98.851, 40.965, 97.609]","['20111207', 2155, 503099, 98.553, 48.727, 96.994]","['19910501', 1524, 343162, 99.148, 38.795, 98.201]","['19860802', 973, 240513, 98.624, 31.12, 97.127]","['19910210', 1545, 395780, 98.885, 41.593, 97.565]","['19811001', 1134, 258754, 98.645, 32.71, 97.171]","['19900210', 951, 232273, 98.861, 29.484, 97.512]","['20010420', 1220, 368872, 98.998, 40.314, 97.854]"
12875-99-3,"['19970917', 7815, 463565, 98.62, 46.126, 97.057]","['20010824', 7044, 403595, 98.839, 42.826, 97.55]","['20121204', 5786, 369165, 98.851, 40.965, 97.609]","['20111207', 8157, 503099, 98.553, 48.727, 96.994]","['19910501', 5692, 343162, 99.148, 38.795, 98.201]","['19860802', 4043, 240513, 98.624, 31.12, 97.127]","['19910210', 6166, 395780, 98.885, 41.593, 97.565]","['19811001', 4325, 258754, 98.645, 32.71, 97.171]","['19900210', 3854, 232273, 98.861, 29.484, 97.512]","['20010420', 5403, 368872, 98.998, 40.314, 97.854]"
12875-99-2,"['19970917', 30884, 463565, 98.62, 46.126, 97.057]","['20010824', 27290, 403595, 98.839, 42.826, 97.55]","['20121204', 23512, 369165, 98.851, 40.965, 97.609]","['20111207', 32643, 503099, 98.553, 48.727, 96.994]","['19910501', 22547, 343162, 99.148, 38.795, 98.201]","['19860802', 16011, 240513, 98.624, 31.12, 97.127]","['19910210', 25248, 395780, 98.885, 41.593, 97.565]","['19811001', 17296, 258754, 98.645, 32.71, 97.171]","['19900210', 15380, 232273, 98.861, 29.484, 97.512]","['20010420', 22993, 368872, 98.998, 40.314, 97.854]"
12875-80-4,"['19970917', 1977, 463565, 98.62, 46.126, 97.057]","['20010824', 1767, 403595, 98.839, 42.826, 97.55]","['20121204', 1426, 369165, 98.851, 40.965, 97.609]","['20111207', 2155, 503099, 98.553, 48.727, 96.994]","['19910501', 1524, 343162, 99.148, 38.795, 98.201]","['19860802', 973, 240513, 98.624, 31.12, 97.127]","['19910210', 1545, 395780, 98.885, 41.593, 97.565]","['19811001', 1134, 258754, 98.645, 32.71, 97.171]","['19900210', 951, 232273, 98.861, 29.484, 97.512]","['20010420', 1220, 368872, 98.998, 40.314, 97.854]"
12875-80-3,"['19970917', 7815, 463565, 98.62, 46.126, 97.057]","['20010824', 7044, 403595, 98.839, 42.826, 97.55]","['20121204', 5786, 369165, 98.851, 40.965, 97.609]","['20111207', 8157, 503099, 98.553, 48.727, 96.994]","['19910501', 5692, 343162, 99.148, 38.795, 98.201]","['19860802', 4043, 240513, 98.624, 31.12, 97.127]","['19910210', 6166, 395780, 98.885, 41.593, 97.565]","['19811001', 4325, 258754, 98.645, 32.71, 97.171]","['19900210', 3854, 232273, 98.861, 29.484, 97.512]","['20010420', 5403, 368872, 98.998, 40.314, 97.854]"
